team,win_group_probability,reach_round_32_probability,reach_round_16_probability,reach_quarterfinal_probability,reach_semifinal_probability,reach_final_probability,win_world_cup_probability
H1,0.252,0.687,0.363,0.187,0.101,0.053,0.031
I3,0.238,0.673,0.345,0.172,0.091,0.047,0.03
K1,0.291,0.681,0.315,0.171,0.092,0.047,0.03
J4,0.257,0.682,0.341,0.182,0.098,0.059,0.028
C4,0.241,0.65,0.33,0.17,0.083,0.04,0.026
H2,0.258,0.674,0.35,0.178,0.081,0.053,0.026
I4,0.254,0.671,0.343,0.167,0.088,0.044,0.026
C1,0.245,0.668,0.348,0.177,0.099,0.055,0.025
E3,0.247,0.654,0.329,0.174,0.087,0.043,0.025
J1,0.259,0.679,0.326,0.173,0.088,0.047,0.025
B4,0.252,0.657,0.339,0.164,0.08,0.039,0.024
D2,0.259,0.669,0.371,0.185,0.097,0.044,0.024
E2,0.248,0.679,0.35,0.176,0.086,0.042,0.024
F3,0.266,0.655,0.328,0.15,0.073,0.043,0.024
H4,0.256,0.663,0.32,0.155,0.076,0.037,0.024
L4,0.243,0.652,0.321,0.167,0.084,0.045,0.024
D1,0.261,0.692,0.356,0.181,0.094,0.052,0.023
A1,0.236,0.655,0.345,0.19,0.087,0.042,0.022
A4,0.241,0.674,0.323,0.178,0.09,0.041,0.022
B1,0.255,0.686,0.356,0.167,0.092,0.051,0.022
D4,0.245,0.671,0.326,0.172,0.086,0.033,0.022
I1,0.251,0.667,0.356,0.177,0.082,0.039,0.022
K3,0.246,0.666,0.317,0.155,0.072,0.036,0.022
D3,0.235,0.634,0.315,0.153,0.086,0.046,0.021
E4,0.252,0.685,0.336,0.173,0.09,0.044,0.021
F2,0.244,0.672,0.318,0.169,0.08,0.045,0.021
H3,0.234,0.659,0.336,0.143,0.085,0.04,0.021
J2,0.226,0.677,0.369,0.18,0.079,0.044,0.021
J3,0.258,0.659,0.314,0.158,0.086,0.044,0.021
K4,0.24,0.642,0.331,0.167,0.089,0.043,0.021
C3,0.258,0.672,0.345,0.169,0.094,0.047,0.02
G2,0.226,0.668,0.318,0.162,0.079,0.04,0.02
F4,0.239,0.662,0.32,0.167,0.085,0.039,0.019
K2,0.223,0.673,0.328,0.164,0.082,0.044,0.019
A2,0.268,0.675,0.323,0.151,0.068,0.035,0.018
A3,0.255,0.656,0.339,0.172,0.085,0.042,0.018
G4,0.248,0.639,0.308,0.158,0.09,0.044,0.018
B3,0.241,0.649,0.328,0.145,0.069,0.035,0.017
E1,0.253,0.668,0.359,0.169,0.072,0.028,0.016
G1,0.264,0.675,0.329,0.153,0.071,0.033,0.016
I2,0.257,0.656,0.332,0.157,0.072,0.039,0.016
C2,0.256,0.666,0.319,0.16,0.08,0.033,0.015
G3,0.262,0.663,0.316,0.163,0.08,0.041,0.015
F1,0.251,0.665,0.329,0.161,0.067,0.025,0.013
L2,0.263,0.666,0.33,0.154,0.067,0.03,0.012
B2,0.252,0.679,0.329,0.173,0.091,0.04,0.011
L1,0.245,0.669,0.322,0.16,0.079,0.039,0.01
L3,0.249,0.666,0.309,0.151,0.067,0.028,0.009
